PersonID,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR,VEHWRK,POPDENS,MALE,AGE,HIGHINC
811,1,0,1,1,0,0,1.8362,15.5,24,7,0.4516,1.52,29.9,9.2,0.5935,0.76,42.8,36.5,2.3548,2.65,3,3.55,1,57,0
812,1,0,1,1,0,0,1.8362,3.3,7,5,1.5152,0.32,9.2,6.8,2.0606,0.16,10,46.3,14.0303,0.75,1,5.73,1,45,0
813,1,0,2,0,1,0,0.6426,3.3,7,5,1.5152,0.32,9.2,7,2.1212,0.16,30.2,39.5,11.9697,2,1,5.73,0,44,0
814,1,0,1,1,0,0,1.8362,3.3,7,5,1.5152,0.32,9.2,7,2.1212,0.16,17.4,33.1,10.0303,0.5,1,5.73,0,76,0
815,1,0,3,0,0,1,0.2982,21.4,32,6,0.2804,2.85,36.3,8.1,0.3785,1.43,35,34.7,1.6215,2.5,0.5,3.51,0,28,0
816,1,0,1,1,0,0,1.8362,1.5,4,3,2,0.15,5.9,4.9,3.2667,0.07,3.3,31.5,21,0.5,1,2.8,0,50,0
817,1,0,1,1,0,0,1.8362,30.4,51,4,0.1316,2.98,56.9,5.9,0.1941,1.49,84.1,47.2,1.5526,3,2,2.08,1,44,1
818,1,0,1,1,0,0,1.8362,4.3,9,2,0.4651,0.42,11.6,3.1,0.7209,0.21,16.5,76.2,17.7209,0.75,2,3.86,1,37,0
819,1,0,1,1,0,0,1.8362,20.1,25,2,0.0995,1.97,31.1,3.1,0.1542,0.98,84.9,49.3,2.4527,4.75,2,1.86,1,66,0
820,1,0,2,0,1,0,0.6426,18.2,35,4,0.2198,1.78,43.2,5.6,0.3077,0.89,57,51.9,2.8516,4.95,0.8,3.75,1,60,1
821,1,0,2,0,1,0,0.6426,15.4,24,4,0.2597,1.51,29.9,5.6,0.3636,0.76,41.4,42.8,2.7792,4.1,0.8,3.75,0,56,1
822,1,0,1,1,0,0,1.8362,5.8,15,4,0.6897,0.57,17.9,5.9,1.0172,0.28,23.7,35.5,6.1207,1.4,1,5.45,0,58,0
823,1,0,1,1,0,0,1.8362,7.6,16,4,0.5263,0.74,18.8,6.3,0.8289,0.37,38.2,65.3,8.5921,1,1,5.45,0,58,0
824,1,0,3,0,0,1,0.2982,23.7,60,5,0.211,2.32,65,7.3,0.308,1.16,38.2,35.7,1.5063,2.75,0.5,7.23,0,38,0
825,1,0,3,0,0,1,0.2982,23.9,57,5,0.2092,2.34,63.4,7,0.2929,1.17,39.2,38.6,1.6151,2.75,0.5,7.23,0,38,0
826,1,0,1,1,0,0,1.8362,21.5,38,4,0.186,2.11,42.8,5.9,0.2744,1.05,70.6,51.6,2.4,3.5,0.5,3.9,0,28,0
827,1,0,1,1,0,0,1.8362,26,46,7,0.2692,3.22,51.5,9.2,0.3538,1.6,79.5,41.6,1.6,1.95,0.8,6.72,1,49,0
828,1,0,1,1,0,0,1.8362,27.1,44,7,0.2583,2.66,54.2,9.2,0.3395,1.33,65.3,49.2,1.8155,1.35,0.8,6.72,1,49,0
829,1,0,1,1,0,0,1.8362,3.6,10,4,1.1111,0.35,12.5,6.3,1.75,0.18,19.8,54.9,15.25,1.2,0.8,6.72,1,21,0
830,1,0,1,1,0,0,1.8362,16.8,33,5,0.2976,1.65,40.8,6.8,0.4048,0.82,47.5,70.5,4.1964,3.15,1.5,5.09,1,45,0
831,1,0,1,1,0,0,1.8362,4,10,6,1.5,0.39,12.9,8,2,0.2,34.8,27.4,6.85,1.25,1,6.31,0,59,0
832,1,0,1,1,0,0,1.8362,5.2,13,6,1.1538,0.51,15.7,8.1,1.5577,0.26,34.1,46.2,8.8846,1.25,1,6.31,0,59,0
833,1,0,1,1,0,0,1.8362,11.2,23,6,0.5357,1.6,26.5,8.1,0.7232,0.8,71.3,52.3,4.6696,1.85,1,6.31,1,34,0
834,1,0,2,0,1,0,0.6426,1.4,4,5,3.5714,0.14,5.9,7,5,0.07,7.5,20,14.2857,0.5,2,11.48,1,31,0
835,1,0,1,1,0,0,1.8362,3.7,8,3,0.8108,0.36,10.4,4.4,1.1892,0.18,21.5,30.6,8.2703,0.75,1,7.08,0,33,0
836,1,0,1,1,0,0,1.8362,6.5,15,3,0.4615,0.64,18.9,4.4,0.6769,0.32,34.8,64.8,9.9692,0.6,1,6.93,0,33,0
837,1,0,1,1,0,0,1.8362,2.1,5,5,2.381,0.21,7,7,3.3333,0.1,7.7,31.6,15.0476,0.75,0.7,3.92,0,43,0
838,1,0,1,1,0,0,1.8362,4.3,11,2,0.4651,0.42,13.5,3.8,0.8837,0.21,36.5,56.7,13.186,2.75,1,2.85,0,48,0
839,1,0,2,0,1,0,0.6426,4.4,10,2,0.4545,0.43,12.9,3.1,0.7045,0.14,52,59.1,13.4318,3.8,1,2.85,0,23,0
840,1,0,1,1,0,0,1.8362,4.4,10,2,0.4545,0.43,12.9,3.1,0.7045,0.21,51.4,60.1,13.6591,3.25,1,2.85,0,19,0
